independent streams
2219120098 768504806
4035800747 323543616
253345876 4244168941
2214098417 2726800092
3397187231 3914554340
3653729774 1359758666
changed globalindex, values should be independent of previous
117906451 310111810
1115841719 503608457
956895308 1216621345
1839381923 171521175
995334992 281831269
4031402113 2841856517
original global index, values should be same as first set
2219120098 768504806
4035800747 323543616
253345876 4244168941
2214098417 2726800092
3397187231 3914554340
3653729774 1359758666
explicit counter setting, values should be same as first set
2219120098 768504806
4035800747 323543616
253345876 4244168941
2214098417 2726800092
3397187231 3914554340
3653729774 1359758666
